Date,Time,SET,Value,2D,Modern,Internet
2023-03-17,16:30:00,"1,563.67","73,534.88",74,0,0
2023-03-20,11:00:00,"1,564.63","26,300.83",30,0,0
2023-03-20,12:01:00,"1,564.63","26,300.83",30,0,0
2023-03-20,15:00:00,"1,555.45","62,838.25",58,0,0
2023-03-20,16:30:00,"1,555.45","62,838.25",58,0,0
2023-03-21,11:00:00,"1,565.48","24,871.18",81,0,0
2023-03-21,12:01:00,"1,565.48","24,871.18",81,0,0
2023-03-21,15:00:00,"1,577.18","53,355.27",85,0,0
2023-03-21,16:30:00,"1,577.18","53,355.27",85,0,0
2023-03-22,11:00:00,"1,584.42","28,130.36",20,0,0
2023-03-22,12:01:00,"1,584.42","28,130.36",20,0,0
2023-03-22,15:00:00,"1,585.08","51,001.11",81,0,0
2023-03-22,16:30:00,"1,585.08","51,001.11",81,0,0
2023-03-23,11:00:00,"1,592.02","26,150.91",20,0,0
2023-03-23,12:01:00,"1,592.02","26,150.91",20,0,0
2023-03-23,15:00:00,"1,593.65","49,431.84",51,0,0
2023-03-23,16:30:00,"1,593.65","49,431.84",51,0,0
2023-03-24,11:00:00,"1,594.69","24,236.33",96,0,0
2023-03-24,12:01:00,"1,594.69","24,236.33",96,0,0
2023-03-24,15:00:00,"1,591.85","44,924.85",54,0,0
2023-03-24,16:30:00,"1,591.85","44,924.85",54,0,0
2023-03-27,11:00:00,"1,592.52","18,677.20",27,0,0
2023-03-27,12:01:00,"1,592.52","18,677.20",27,0,0
2023-03-27,15:00:00,"1,593.37","36,048.98",78,0,0
2023-03-27,16:30:00,"1,593.37","36,048.98",78,0,0
2023-03-28,11:00:00,"1,603.88","22,404.55",84,0,0
2023-03-28,12:01:00,"1,603.88","22,404.55",84,0,0
2023-03-28,15:00:00,"1,606.91","44,685.40",15,0,0
2023-03-28,16:30:00,"1,606.91","44,685.40",15,0,0
2023-03-29,11:00:00,"1,610.01","25,802.18",12,0,0
2023-03-29,12:01:00,"1,610.01","25,802.18",12,0,0
2023-03-29,15:00:00,"1,610.52","44,496.08",26,0,0
2023-03-29,16:30:00,"1,610.52","44,496.08",26,0,0
2023-03-30,11:00:00,"1,602.49","21,977.05",97,0,0
2023-03-30,12:01:00,"1,602.49","21,977.05",97,0,0
2023-03-30,15:00:00,"1,605.42","50,910.02",20,0,0
2023-03-30,16:30:00,"1,605.42","50,910.02",20,0,0
2023-03-31,11:00:00,"1,609.34","21,232.51",42,0,0
2023-03-31,12:01:00,"1,609.34","21,232.51",42,0,0
2023-03-31,15:00:00,"1,609.17","43,168.03",78,0,0
